ungendered,gendered
Betriebsrat,"<div class=""tooltip"">Mitglied des Betriebsrates [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">s. dazu auch FAQ ""Muss ich Betriebsrat gendern?""</span> </div>"
Betriebsräte,"<div class=""tooltip"">Mitglieder des Betriebsrates; der Betriebsrat; Mitarbeitendenvertretung; der Personalrat [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">s. dazu auch FAQ ""Muss ich Betriebsrat gendern?""</span> </div>"
Betriebswirt,betriebswirtschaftende Person
Betroffener (sg.),betroffene Person; Opfer
Betrüger,unehrliche Person
Bewahrer (sg.),bewahrende Person
Bewerber (sg.),sich bewerbende Person
Bewerber (pl.),Bewerbende; sich bewerbende Personen
Bewerberzahlen,Bewerbungszahlen
Bewohner (pl.),in ... Lebende; in ... lebende Menschen; Ortsansässige; Bewohnende; Bewohnerschaft
Bewohnerzimmer,Bewohnendenzimmer; Zimmer
Bieter (sg.),bietende Partei; bietende Person
Bildungsträger (pl.),Bildungstragende
Biografieträger (pl.),Biografietragende
Blindenführer,Guide für blinde Menschen; Blindenguide; Begleitung für blinde Menschen; Mobilitätshilfe; 
Blockwart,Gebietsaufsicht; Blockaufsicht
Blogger (pl.),"bloggende Personen; Personen, die einen Blog schreiben"
Bogenschütze,Bogenschießende Person
Bote,Botschaft überbringende Person
Brandschutzbeauftragter,beauftragte Person für Brandschutz
Brautpaar,Hochzeitspaar; verlobtes Paar
Botschafter,Spitze des Diplomatischen Corps;  Repräsentanz
Briefträger,Briefzustellung; Postzustellung
Brillenträger,Personen mit Brille
Bruder / Schwester,"Geschwister, das; Geschwisterkind"
... Wie alt ist dein Bruder / deine Schwester?,... Wie alt ist dein Geschwister(kind)?
Brüder und Schwestern,Geschwister; Geschwisterkinder
... Jedes Kita-Kind kann zum Adventsfrühstück seine Brüder und/oder Schwestern mitbringen.,... Jedes Kita-Kind kann zum Adventsfrühstück seine Geschwister mitbringen.
Brüderlichkeit,Mitmenschlichkeit; Solidarität; Geschwisterlichkeit
Buhmann,Feindbild; schuldige Person; Zielscheibe; (Sündenbock)
Buddhisten,Menschen buddhistischen Glaubens
Bundeskanzler,"(oberste) Führungskraft der Bundesregierung; Leitung der Bundesregierung; <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Bundespräsident,"deutsches Staatsoberhaupt; Staatsoberhaupt einer Bundesrepublik; Person, die die Bundespräsidentschaft inne hat; <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
