ungendered,gendered
Nationalmannschaft,Nationalteam
Nationalsozialist / Nazi,rechtsextreme Person; rechtsextrem eingestellte Person
Naturbursche,Naturmensch
Nebenmann,nebenstehende Person
Neffen und Nichten,Kinder der Geschwister
Netzwerkpartner (pl.),Netzwerkbeteiligte; Netzwerkmitglieder
Neueinsteiger (sg.),Nachwuchs; neu im Geschäft; unerfahrene Person; Grünschnabel; Mensch ohne Vorkenntnisse
Nichtraucher,nicht rauchende Person
"niemand, der ... ","keine Person, die ...; kein Mensch, der ... "
Nonne,Ordensperson
Nonnen,Ordensleute
Notar,notariell arbeitende Person
Nutzer (sg.),"(be-)nutzende Person; Person, die ... nutzt"
Nutzer (pl.),"Personen, die ... nutzen; Nutzung; Mitglieder; Nutzende "
... Nutzer des Angebots werden bevorzugt.,"... Wer das Angebot nutzt, wird bevorzugt."
... Wie viele Nutzer hat das Fitnessstudio?,... Wie viele Mitglieder hat das Fitnessstudio?
Nutzerdaten,(persönliche) Nutzungsdaten; Datenspuren; Daten der Nutzenden
Nutzerentgelte,Nutzungsentgelte
Nutzergemeinde,Community; Netzwerk
Nutzergruppe,mit (folgenden) Aufgaben betrauter/arbeitender Personenkreis; Nutzungsgruppe
Nutzerhandbuch,Handbuch; Nutzungshandbuch
Nutzerkonto,Account; Konto; Zugang
nutzerorientiert,menschzentriert; nutzungsfreundlich; nutzungsorientiert
Nutzerzufriedenheit,Zufriedenheit mit der Nutzung; Bedienzufriedenheit
Oberarzt,ärztliche Führungskraft; fachärztliche Leitung
Oberbürgermeister,Stadtoberhaupt
Obmann,Obmensch; schiedsrichtende Person
Ökonom,ökonomisch ausgebildete Person
Ökonomen,ökonomisch Ausgebildete
Ombudsmann,Ombudsperson
Opfer,[als Neutrum ist dieses Wort schon gendergerecht: DAS Opfer]
Opportunisten,eine die Gelegenheit ergreifende Person
Organisatoren,Organisation; Organisationsteam/-komitee; organisiert von ...; Organisierende
Organspender (pl.),Organ Spendende; Organ spendende Personen
Orthopädietechniker,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Otto Normalverbraucher,Durchschnittsmensch
Pächter (sg.),pachtende Person
Pädagoge,pädagogische Fachkraft
Paketbote,Paketzustellung
"... Kommt der Paketbote, bin ich leider nie daheim!",... Zur Paketzustellung bin ich leider nie daheim!
Parlamentarier (pl.),Abgeordnete
Papst,Oberhaupt der katholischen Kirche
... Papst [im übertragenen Sinn; z.B. Modepapst],... Genie; Berühmtheit; Ikone
Parteichef,Parteivorsitz
Partner (sg.),Gegenüber
... Tauscht euch mit eurem Partner über den Text aus.,... Tauscht euch zu zweit über den Text aus. / Tauscht euch an eurem Tisch über den Text aus.
... Ihr (Lebens-/Ehe-)Partner / Lebensabschnittsgefährte / Freund ist auch mit eingeladen.,... Kommen Sie gerne in Begleitung (einer weiteren Person). / Bringen Sie gerne eine Begleitperson mit. / Lassen Sie sich gerne von einer Ihnen nahestehenden Person begleiten.
... Sie sollten Ihren Lebenspartner in die Planung mit einbeziehen.,"... Sie sollten die Person, mit der Sie in einer Lebenspartnerschaft leben, mit einbeziehen."
Partner (pl.),Unterstützung; Mitglied; Beteiligte; Kooperationen; Mitwirkende
Partnerarbeit,Zweierarbeit; Paararbeit; Tandemarbeit
... Löst die Aufgabe in Partnerarbeit!,... Löst die Aufgabe zu zweit. / Löst die Aufgabe im Tandem.
Partnerländer,Kooperationsländer
Partnerorganisation,(mit uns) kooperierende Institution
Partnerschaft,Beziehung; Kooperation; Zusammenarbeit; Tandem
Partnersuche,Lebensmenschsuche; Verbündetensuche; Seelenverwandtensuche
Partnerwahl,Wahl eines Lebensmenschen
Passagier,reisende Person
Passagiere,Reisende
Passagierflugzeug,Reiseflugzeug
Passanten ,"Passierende; <div class=""tooltip"">Vorübergehende; zu Fuß Gehende [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">nur sehr eingeschränkt verwendbar, da Menschen, die nicht gehen können (z.B. Menschen im Rollstuhl), ausgeschlossen werden</span> ; einen Ort passierende Personen; den Gehweg nutzende Personen; </div> <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Passantenbefragung,Straßenbefragung
Passinhaber,im Besitz eines Passes
Pastor,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Pate,Patenamt; Patenschaft
Pathologe,ärztliche Fachkraft für Pathologie
Patient (sg.),"zu behandelnde Person; kranke Person; zu versorgende Person; (Fach-)Beratung aufsuchende Person; Person, die sich in medizinische Hände begibt; Hilfesuchende Person; stationär aufgenommene Person; die uns anvertraute Person; Person, die medizinische Hilfe benötigt; Pat./Pat* [innerhalb der Dokumentation]"
Patienten (pl.),"zu behandelnde Personen; zu Pflegende; Personen, die in (ärztlicher) Behandlung sind; Kranke; Erkrankte; Menschen mit einer Erkrankung; Menschen, die im Krankenhaus liegen; (von einer Krankheit) Betroffene; Behandelte; Hilfesuchende"
... Krebspatienten,... von der Krebskrankheit Betroffene; Krebskranke
... Patienten-Arzt-Kommunikation,Kommunikation zwischen behandelnder und behandelter Person; behandlungsbezogene Kommunikation
... Privatpatient,Privatversicherte Person; Person mit privater Krankenversicherung
Patientencharakteristik,Betroffenencharakteristik; Erkranktencharakteristik
Patienteninformation,"Information; Information für Sie <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Patientenkontakt,Betroffenenkontakt
patientennah,Point-of-Care
patientenorientiert,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Patientenschulung (in der Psychologie),Schulung für Erkrankte
Patientensicherheit,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Patientenstamm,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Patientenverfügung,Verfügung(en) für betreuende Personen
Patientenversorgung,ärztliche Versorgung; Behandlung; Pflege
Patientenzimmer,"<div class=""tooltip"">Krankenzimmer (nicht empfohlen) [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">Nicht alle Patient*innen können als krank bezeichnet werden, z.B. Schwangere oder Menschen in Reha-Maßnahmen</span> </div>; Gesundungszimmer; Heilungszimmer; Zimmer"
Pazifist,"Person, die für Frieden einsteht; friedensengagierte Person; pazifistische Person <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Pazifisten,Friedensbewegte
Pendler (pl.),Pendelnde
Pendlerpauschale,"Entfernungspauschale; Pendelpauschale; Pauschale für Pendelnde; Pauschale für Menschen, die pendeln"
Performer (pl.),Performende
Person,[ist bereits genderneutral; analog zur MENSCH]
Personalentwickler,Personalentwicklung
Personalleiter,Personalleitung
Personalrat,Mitglied des Personalrates
Personalräte,Mitglieder des Personalrates; der Personalrat; Mitarbeitendenvertretung
Personalvertreter (pl.),Personalvertretung
Pfadfinder (sg.),"Scout; Pfadi <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Pfadfinder (pl.),Pfadis; Pfadfindende
Pfarrer (sg.),Pfarrperson
Pfleger (sg.),Pflegekraft
Pfleger (pl.),Pflegekräfte; Pflegepersonal; die Pflege; Pflegende
Pförtner (sg.),Pfortenpersonal
Philosoph,gelehrte Person
Philosophen,Gelehrte
Physiker (sg.),Person mit abgeschlossenem Physikstudium
Physiotherapeut,Physiotherapie praktizierende Person
Pilger (pl.),Pilgernde; Menschen auf Pilgerschaft
Pilot,flugzeugführende Belegschaft
Pilotlabor,Koordinationslabor; Koordinierungslabor
Pilotphase,Testphase; Probebetrieb
Pilotprojekt,Versuchsvorhaben; Versuchsprojekt; Testphase
Pionier,vorkämpfende Person
Pionierarbeit,wegbereitende Arbeit; bahnbrechende Leistung
Planer (pl.),planende Personen; planende Institutionen
Platzwart,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Poet,lyrikschaffende Person
Politiker (sg.),Mensch in der Politik; Mitglied der Politik; in der Politik tätige Person; Teil der Legislative
Politiker (pl.),"Menschen in der Politik; Menschen, die in der Politik tätig sind; Mitglieder der Politik; Politikschaffende"
Polizist,Polizeikraft; Polizei
Polizisten (pl.),Polizei; Polizeikräfte; Polizeileute
Polsterer,Polsterfachkraft
Postbote,Postzustellung
Powerfrau,Powermensch; gestandene Person
Praktikant (sg.),"<div class=""tooltip"">Praktikumskraft [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">wird im österreichischen Sprachgebrauch verwendet</span> </div>; eine ein Praktikum absolvierende Person; eine Person im Praktikum; eine sich in einem Praktikum(verhältnis) befindende Person"
Praktikanten,Auszubildende im Praktikum
Praktikantenstelle,Praktikumsstelle
Praktiker (pl.),Praktizierende; Leute aus der Praxis; praktisch veranlagte Menschen
Präsident,Staatsoberhaupt; Vorsitz
Präsidenten (pl.),Vorsitzende
... die Vereinspräsidenten,... die Vereinsvorsitzenden
Präsidentenwahl,Präsidentschaftswahl
Praxispartner,"Praxisbeteiligte; Praxismitbetreibende; Praxisunternehmen; Einrichtung zur praktischen Vertiefung; <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht im Kontext: Person, mit der man in Praxisphasen zusammen übt (Unterricht, Seminar); senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Prediger (pl.),Predigende
Preisträger (sg.),ausgezeichnete Person
Pressesprecher,Pressevertretung; Öffentlichkeitsarbeit; Pressestelle
Priester,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Proband,Testperson; Versuchsperson
Probanden,Testpersonen; Versuchspersonen; Teilnehmende
Produzent ,die Produktionsleitung innehabende Person
Produzenten,Produzierende; Produktionsteam
Professor,eine Professur innehabende Person; Prof.
Professoren,Professorenschaft
Professorenstelle,Professorale Stelle
Profi ,Fachperson; Person mit Fachwissen/Fachkenntnis
Profis ,Sachkundige; Fachleute; Sachverständige
Programmierer (sg.),programmierende Person
Programmierer (pl.),Softwareerstellende; Programmierende
Projektentwickler,Projektentwicklung
Projektleiter (sg.),Projektleitung
Projektleiter (pl.),Projektleitungen; Projektleitende
Projektpartner (pl.),Projektbeteiligte; Projektmitwirkende; am Projekt beteiligte Firmen/Institute/etc.
Projektträger,Projektträgerschaft
Prokurist,Person mit Prokura; bevollmächtigte Person
Prokuristen,Personen mit Prokura; Prokura Innehabende; Prokura Ausübende
Proletarier (pl.),Lohnabhängige; Werktätige; Arbeitende; Angehörige des Proletariats
Prominenter,prominente Persönlichkeit
Prostituierte,im Sexgewerbe tätige Person; sich prostituierende Person
Protagonist,Figur; Hauptperson; Hauptfigur; zentrale Gestalt; Schlüsselfigur; Titelrolle
Protagonisten,Hauptpersonen; Hauptfiguren; zentrale Gestalten; Schlüsselfiguren; Titelrollen; Aktive
Protokollführer (sg.),protokollführende Person
Prüfer (sg.),"Prüfungsleitung; Prüfungsabnahme durch ...; geprüft von ... ; Person, die prüft; prüfende Person"
Prüfling,zu prüfende Person
Prüfstatiker (sg.),Statik prüfende Person
Psychologe,psychologische Fachkräfte
Psychotherapeut,psychotherapeutisches Fachpersonal; psychotherapeutische Fachkraft
Putzfrau,Reinigungspersonal; Reinigungskraft; Raumpflege
Querdenker (sg.),Querkopf; kreativer Kopf
Rabbiner (sg.),Mitglied des Rabbinats
Rabbiner (pl.),Rabbinat
Radfahrer (pl.),Rad Fahrende; wer mit dem Rad unterwegs ist ... 
... Radfahrer müssen absteigen.,... Fahrräder bitte schieben.
Radiologe,"radiologisch-ärztliches Fachpersonal <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Ranger,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Rassist,rassistische Person
Ratgeber [im Sinne einer Person; nicht Leitfaden],Wegbegleitung; Beistand; ratgebende/beratende Person
Ratsherr,"<div class=""tooltip"">Mitglied des Stadtrats [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">ggf. zu unscharf: auch Bürgermeister*in ist Mitglied des Stadtrats aber nicht Ratsherr*Ratsfrau</span> </div>"
Räuberleiter,Steighilfe; Raubleiter; Baumleiter; Dachlattentreppe
Raucherabteil,Abteil für Rauchende; Abteil zum Rauchen
Raucherbereich,Bereich für Rauchende; Bereich zum Rauchen; Rauchbereich
Raucherpause,Zigarettenpause
Rechnungsempfänger (sg.),die Rechnung empfangende Person
Rechnungsempfänger (pl.),Rechnungsempfangende; Rechnungserhaltende
Rechnungsprüfer,"Rechnungsprüfung; Person, die die Rechnungsprüfung macht; Person, die für die Rechnungsprüfung verantwortlich ist"
Rechteinhaber (pl.),Rechteinhabende
Rechthaber,rechthaberischer Mensch
Rechtsanwalt,"<div class=""tooltip"">Rechtsbeistand (nicht empfohlen) [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">im streng juristischen Sinne hat ein Rechtsbeistand andere Befugnisse und Vertretungsrechte als ein*e Rechtsanwält*in; es existiert zudem die Bezeichnung Rechtsbeiständin</span>, Mitglied der (Rechts-)Anwaltschaft; Rechtsvertretung"
Rechtsanwälte,Angehörige rechtsberatender Berufe
Rechtshänder,rechtshändige Person
Recruiter,rekrutierende Person
Redakteur,Redaktion; Redationsmitglied
Redner (sg.),referierende Person; vortragende Person
Rednerliste,Redeliste
Rednerpult,Redepult
Referendar,Lehrkraft im Referendariat; LiV (Lehrkraft im Vorbereitungsdienst)
Referent,"referierende Person; vortragende Person;  <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht, insbesondere für den Referent als Stellenbezeichnung, z.B. Wissenschaftlicher Referent in der Stiftung XYZ; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Referenten,Referierende; Vortragende
... Referenten waren ... ,... Es referierten ... 
Referententätigkeit,Referierendentätigkeit;  Vortragstätigkeit; zuständig für Aufgaben im Referat xyz; zuständig für die Referatsleitung
Regierungschef,Staatsoberhaupt; Regierung anführende Person
Regierungsrat,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Regisseur,Regie
Rehasportler,Rehasportinteressierte
Reiseleiter,Reiseleitung
Reisender,reisende Person
Reiserückkehrer,"zurückkommende Reisende  <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Reiseveranstalter,Reiseveranstaltung; Reisebüro; Reiseorganisation; Reisekoordination; Reiseausrichtung; Reiseveranstaltende
Reiter,"Person, die reitet"
Rekrut,Nachwuchs (der Grundausbildung in der Bundeswehr)
Rektor,Schulleitung
Rentner (sg.),Person im Ruhestand; Person in Rente
Rentner (pl.),"Menschen, im Rentenalter; Menschen, die in der Rente sind; Menschen in Rente"
Repetent,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Reporter (sg.),Presse; berichterstattende Person; Medienvertretung
Repräsentanten,Vertretung
Respondent,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Rettungsassistent,Rettungsassistenz; mitarbeitende Person im Rettungsdienst
Rettungssanitäter,Rettungskraft; Rettungssanitätsdienst
Rettungsschwimmer (sg.),aus dem Wasser rettende Person
Rettungshelfer,Rettungshilfe; rettungshilfeleistende Person
Rezeptionist,Empfang; Person/Personal am Empfang; Rezeption
Rezipient,rezipierende Person; empfangende Person
Rezipienten,Rezipierende; Publikum
Richter (sg.),rechtsprechende Person
Richter (pl.),Richterschaft
Ritter,Mensch in Rüstung
Ritterschlag,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Ritterstand,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Rivale,Konkurrenz; Gegenpart
Rollstuhlfahrer (sg.),Person im Rollstuhl
Ruderer (sg.),rudernde Person
Sachbearbeiter (sg.),Verwaltungskraft
Sachbearbeiter (pl.),Verwaltungskräfte; Sachbearbeitende; Sachverständige
Sachbearbeiternummer,Kennnummer; Verwaltungsnummer; Nummer der zuständigen Verwaltungskraft
Sachverständiger,Person mit Sachverstand in ... 
Salafist,salafistische Person
Sammler (pl.),Sammelnde
Sänger (sg.),Stimme; Act
Sänger (pl.),"Stimmen; Chor; Choraktive; Personen, die singen; Gesangsgruppe; Singende"
... Die Sänger des Chores verzauberten durch ihre Gesänge die Gäste des Galaabends. ,... Der Chor verzauberte durch seine Gesänge das Publikum des Galaabends.
... An der Oper arbeiten 30 hauptberufliche Sänger.,... An der Oper singen 30 Personen hauptberuflich.
Sanitäter (pl.),Rettungskräfte; Sanitätsdienst
Säugling,[ist bereits genderneutral]
Schatzmeister (sg.),Finanzvorstand; Kassenführung; Kassenverwaltung
Schauspieler (pl.),Rollen; Besetzung; Darstellende
Schiedsrichter (sg.),Spielleitung; schiedsrichtende Person; schiedsrichtendes Gremium; Schiedsgericht
Schirmherr,Support; gefördert/unterstützt von... 
Schirmherrschaft,Support; gefördert/unterstützt von...; Vorstand; Repräsentanz
Schlägertyp,gewalttätige Person
Schlichter (pl.),Schlichtende; Schlichtungspersonen
Schmied,auf die Schmiedekunst spezialisierte Person
Schneemann,Schneefigur
Schöffe,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Schöpfer (sg.),(er-)schaffende Person
Schöpfer (pl.),(Er-)Schaffende
Schreiber (sg.),schreibende Person
Schriftsteller (sg.),bücherschreibende Person
Schriftsteller (pl.),Urheberrechtsinhabende; Verfassende; Schreibende; Literaturschaffende
Schulabbrecher (pl.),Geringqualifizierte; Menschen ohne Schulabschluss
Schulbegleiter,Schulbegleitung
Schuldiger (sg.),schuldige Person
Schuldige (pl.),[im Plural ist dieses Wort schon gendergerecht]
Schuldner (sg.),die in Schuld stehende Person
Schüler (sg.),Schulkind; Klassenmitglied; lernende Person
Schüler (pl.),Schulkinder; Kinder; Jugendliche; die Klasse; Lernende; Beschulte; Klassenmitglieder; Mädchen und Jungen; Schülerschaft; Schülis
Schüleraustausch,Schulaustausch
Schülerausweis,Schulausweis
Schülerbegegnung,Schulbegegnung; Klassenbegegnung
Schülerexperiment,Gruppenexperiment; Klassenexperiment; Einzelexperiment
Schülerfahrtkosten,Schulfahrtkosten; Schulwegkosten; Exkurskosten; Fahrtkosten
Schülerlabor,Schullabor
Schülerpraktikum,Schulpraktikum; Praktikum in der Schulzeit
Schülervertreter (sg.),"Person, die die Schülerschaft vertritt; Lernendenvertretung"
Schülervertreter (pl.),"Schulkindervertretung; Vertretung der Lernenden; Schülerschaftsvertretung <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Schülervorstellungen,Schulaufführungen; Projektvorstellung; Musikaufführung; Theateraufführung; Konzert; Talentshow; Aufführung
Schülerzeitung,"Schülerschaftszeitung; <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>; <div class=""tooltip"">[Schulzeitung: nicht zu empfehlen] [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">eine Schüler*innenzeitung gestalten und verantworten die Schüler*innen selbst; eine Schulzeitung die Lehrkräfte/Angestellte der Schule</span> </div>"
Schulleiter,Schulleitung
Schulsozialarbeiter,Fachkraft für Schulsozialarbeit
Schulträger,Schulträgerschaft
Schulungsleiter,Schulungsleitung
Schuster,Schusterwerkstatt; Schusterei
Schütze,schießende Person; Schuss abgebende Person/Dienstkraft
Schützenkönig,treffsicherste Person
Schwätzer,Person mit losem Mundwerk; Unsinn redende Person
Schwiegermutter /-vater (sg.),Schwiegerelternteil
Schwimmer (sg.),schwimmende Person; Mensch mit Spaß am Schwimmen
Schwimmlehrer (sg.),Schwimmlehrkraft
Schwimmmeister,Badeaufsicht
Schwimmmeisterraum,Raum der Badeaufsicht
Seefahrer (pl.),Seeleute
Seemann,Hochsee-Fachkraft; maritime Fachkraft
Segler (sg.),segelnde Person; Person im Segelsport
Sehr geehrte Damen und Herren!,"<a href=""https://geschicktgendern.de/tipps-und-tricks/faq/""> siehe FAQ (klick) </a>"
seinerzeit,zu jener Zeit; damals; einst; früher
seinesgleichen,von gleicher Art
Seiteneinsteiger,Person mit Seiteneinstieg/Quereinstieg
Seiteneinsteigerlehrgang,Seiteneinstiegslehrgang
Seiteneinsteigerprogramm,Seiteneinstiegsprogramm
Sekretärin,Verwaltungskraft; Assistenz; Schreibkraft; Bürokraft
Sekretärinnen,Verwaltungskräfte; Verwaltungsfachangestellte; Assistenzen; Schreibkräfte; Bürokräfte
Selbstabholer,bei Selbstabholung
Selbstdarsteller,sich selbst darstellende Person
Selbstmörder (sg.),einen Selbstmord/Suizid begehende Person
Selbstständiger (sg.),selbstständig arbeitende Person
Seminarleiter (sg./pl.),Seminarleitung
Sender (sg.),gesendet von ... 
Sender-Empfänger-Problem [Kommunikation],Sende-Empfang-Problem
Sender-Nachricht-Empfänger-Modell (Kommunikationsmodell),Kommunikationsmodell
Sender (pl.),Sendende
Senioren,ältere Menschen; Menschen im Rentenalter; Menschen im 3. Lebensalter
Seniorenbeirat,Älterenbeirat; Ruhestandsbeirat; Beirat für das 3. Lebensalter
Seniorenangebot,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Servicemitarbeiter,Service
Sexist,sexistische Person
Sheriff,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Showmaster,Showleitung; Showmoderation; moderierende Person
Sicherheitsbeauftragter,für Sicherheit zuständige/beauftragte Person; für Sicherheitsthemen zuständige/beauftragte Person
Siedler (pl.),Ansässige; Siedelnde
Sieger (sg.),Erster Platz; erstplatzierte Person
Siegerehrung,Bestenehrung; Bestenauszeichnung; Ehrung der gewinnenden Personen
Sitznachbar,Person neben mir; nebenan sitzende Person
... Diskutiere mit deinem Sitznachbarn.,... Diskutiere mit der Person neben dir.
Skeptiker (sg.),(an etwas) zweifelnde Person
... die Argumente der EU-Skeptiker,... die Argumente der an der EU zweifelnden Menschen
Sklave,versklavte Person; in Sklaverei gehaltene Person; unfreier Mensch; leibeigene Person
Sklaven,Versklavte; in Sklaverei Gehaltene; Unfreie; Leibeigene
Sklavenhalter (pl.),Sklaverei Ausführende
Soldat,"<div class=""tooltip"">Mitglied der Streitkräfte eines Landes [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">im strengen Sinne nicht korrekt: auch zivile Angestellte, Beamt*innen und Auftragnehmende können Mitglieder der Streitkräfte sein </span> </div>"
Soldaten,"<div class=""tooltip"">Streitkräfte [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">im strengen Sinne nicht korrekt: auch zivile Angestellte, Beamt*innen und Auftragnehmende können Mitglieder der Streitkräfte sein </span> </div>"
Solist,Solopart
Sozialarbeiter (sg.),Fachkraft für Soziale Arbeit
Sozialarbeiter (pl.),Sozialarbeitende; Fachkräfte der Sozialen Arbeit
Sozialleistungsträger (pl.),Sozialleistungstragende
Sozialisten,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Sozialpädagoge,sozialpädagogische Fachkraft
Sozialversicherungsfachangestellter,in der Sozialversicherung fachangestellte Person
Späher (sg.),ausspähende Person
Sparringspartner,sich mit XY sparrende Person
Spaßverderber,Spaßbremse
Spaziergänger (sg.),Person zu Fuß; spazierende Person; wandernde Person; Wandersperson
Spaziergänger (pl.),Personen zu Fuß
Spediteur,für den Warentransport beauftragte Person
Spekulant,spekulierende Person
Spender (pl.),Gebende; Sponsoring; Spenden
Spezialist,auf [Thema] spezialisierte Person
Spezialisten (pl.),Sachkundige; Fachleute; Sachverständige
Spezialistenfunktion,Sachkundigenfunktion
Spieler (sg.),Teammitglied
Spieler (pl.),Spielende; Teammitglieder
Spielergruppen,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Spielleiter,Spielleitung; Spielmoderation
Spielverderber,Spielverderbende Person; Spaßbremse
Spion,auskundschaftende Person; spionierende Person
Spitzbubenleiter,Steighilfe; Raubleiter; Baumleiter; Dachlattentreppe
Spitzenvertreter,Spitzenvertretung
Sprachlotse,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Sprachschüler,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
"Sprecher (sg.) [Radio, Fernsehen, Hörbuch]",Stimme; Text gesprochen von; Moderation; Kommentar; Ansage; sprechende Person
"Sprecher [einer Organisation, Gruppe]",Sprachrohr; Pressestelle; Öffentlichkeitsarbeit
Sprecher (pl.) [einer Sprache],Sprechende; Sprachbenutzende
Sprecher  (pl.),Abgeordnete
Sprecher-Hörer-Wechsel [im Schulunterricht],"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Sprengbefugter,sprengbefugte Person
Sprengberechtigter,sprengberechtigte Person
Springer/Springerdienst,Ersatz; Vertretung; Stellvertretung
Sponsoren,Sponsoring; geldgebende Personen/Firmen; unterstützende Personen/Firmen; Sponsoringkreis; Sponsoringbeteiligte
Sportfreunde,Mitglieder des/unseres Vereins
"... Liebe Sportfreunde, schön, dass Ihr heute zur Vollversammlung unseres Vereins gekommen seid!","... Liebe Mitglieder unseres Vereins, schön, dass Ihr heute zur Vollversammlung gekommen seid!"
Sportler (sg.),sporttreibende Person
Sportler (pl.),Sporttreibende
Staatsbürgerschaft,Staatsangehörigkeit; Nationalität
Staatsmänner,Volksbeauftragte; Menschen in der Politik; Mitglieder des Bundestags / Bundesrats / der Regierung / ...; MdB
Stadtführer,"Stadtführung; Reiseleitung; [ist das Buch / der Prospekt gemeint, muss nicht gegendert werden]"
Stakeholder,Anspruchsgruppe; Interessenvertretung
Star,berühmte Persönlichkeit; Berühmtheit
Steinewerfer (pl.),Steinewerfende; Steine werfende Personen
Steinmetz,Stein bearbeitende Person
Stelleninhaber (sg.),Stelle ausführende Person; Funktion begleitende Person
Stellvertreter (sg.),Stellvertretung
